"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","Ros","+/-"
"*01ual*","Paul Goldschmidt","NYY","1B","202","FA","38","CLE Wed 7:05PM","102","2.91","32%","0%"
"*05yj1*","Nolan Schanuel","LAA","1B","205","FA","24","COL Wed 9:38PM","101","2.06","53%","-3%"
"*041xv*","Nathaniel Lowe","CIN","1B","204","FA","30","KC Wed 7:10PM","101","2.3","37%","-2%"
"*04g7n*","Oswald Peraza","LAA","2B,3B","206","FA","25","COL Wed 9:38PM","100","1.79","36%","-1%"
"*04ppi*","Kody Clemens","MIN","1B,2B,OF","211","FA","30","CHW Wed 1:40PM","99","1.98","37%","-1%"
"*05161*","Dominic Canzone","SEA","OF","210","FA","28","NYM Wed 3:40PM","99","1.87","36%","-1%"
"*02z96*","Dominic Smith","ATL","1B","212","FA","30","TOR Wed 7:15PM","99","2.06","24%","-2%"
"*03pzo*","Leody Taveras","BAL","OF","213","FA","27","@BOS Wed 6:45PM","99","1.94","22%","-2%"
"*04pks*","Matt McLain","CIN","2B","217","FA","26","KC Wed 7:10PM","97","1.67","75%","-8%"
"*03d6s*","Matt Chapman","SF","3B","219","FA","33","@MIL Wed 7:40PM","96","1.6","82%","-3%"
"*04ya4*","Nasim Nunez","WSH","2B,SS","220","FA","25","MIA Wed 1:05PM","96","1.66","42%","-4%"
"*02i3l*","Miguel Andujar","SD","3B,OF","218","FA","31","@PHI Wed 6:40PM","96","2","37%","-9%"
"*041r5*","Dustin May","STL","SP","221","FA","28","TEX Wed 7:45PM","95","7.92","66%","0%"
"*05sr2*","Michael McGreevy","STL","SP","222","FA","25","TEX Wed 7:45PM","94.89","7.91","82%","-3%"
"*05gwy*","Masyn Winn","STL","SS","228","FA","24","TEX Wed 7:45PM","93","1.75","61%","-2%"
"*05ub0*","Zack Gelof","ATH","2B,3B,OF","238","FA","26","@CHC Wed 8:05PM","90","2.05","61%","-4%"
"*03zcy*","Mark Vientos","NYM","1B,3B","240","FA","26","@SEA Wed 3:40PM","90","1.7","50%","-4%"
"*05vy5*","Carter Jensen","KC","C","242","FA","22","@CIN Wed 7:10PM","89","1.59","84%","-2%"
"*03dp8*","Ramon Laureano","SD","OF","243","FA","31","@PHI Wed 6:40PM","88","1.66","64%","-5%"
"*04pqq*","Matt Vierling","DET","OF","244","FA","29","@TB Wed 1:10PM","88","1.69","11%","-2%"
"*04yk2*","Spencer Torkelson","DET","1B","247","FA","26","@TB Wed 1:10PM","87","1.43","83%","-2%"
"*02i2q*","Carlos Correa","HOU","3B,SS","245","FA","31","PIT Wed 8:10PM","87","2.64","55%","-2%"
"*0515v*","David Hamilton","MIL","2B,3B,SS","246","FA","28","SF Wed 7:40PM","87","1.81","20%","-1%"
"*0317o*","Jeff McNeil","ATH","2B,OF","254","FA","34","@CHC Wed 8:05PM","86","1.54","36%","-3%"
"*04efc*","Tyler Freeman","COL","OF","253","FA","27","@LAA Wed 9:38PM","86","2.1","17%","-1%"
"*03d6p*","Grant Holmes","ATL","SP","255","FA","30","TOR Wed 7:15PM","85.81","7.8","65%","-3%"
"*03qr0*","Cedric Mullins","TB","OF","257","FA","31","DET Wed 1:10PM","85","1.67","36%","-3%"
"*04pmt*","Jeremiah Jackson","BAL","2B,OF","256","FA","26","@BOS Wed 6:45PM","85","1.6","31%","-5%"
"*059bx*","Brady House","WSH","3B","260","FA","22","MIA Wed 1:05PM","84","1.91","48%","-2%"
"*06dsa*","Kyle Karros","COL","3B","261","FA","23","@LAA Wed 9:38PM","84","1.45","17%","-1%"
"*05ydz*","Tristan Peters","CHW","OF","262","FA","26","@MIN Wed 1:40PM","84","1.45","12%","-1%"
"*031dw*","Mike Yastrzemski","ATL","OF","266","FA","35","TOR Wed 7:15PM","83","1.51","24%","-1%"
"*03de9*","Rhys Hoskins","CLE","1B","267","FA","33","@NYY Wed 7:05PM","82","1.71","19%","-1%"
"*031t0*","Gleyber Torres","DET","2B","274","FA","29","@TB Wed 1:10PM","81","2.45","82%","-1%"
"*04s1g*","Gabriel Moreno","ARI","C","273","FA","26","LAD Wed 9:40PM","81","2.19","68%","-1%"
"*04en7*","Garrett Mitchell","MIL","OF","272","FA","27","SF Wed 7:40PM","81","1.62","45%","-2%"
"*03pdw*","Andrew Benintendi","CHW","OF","271","FA","31","@MIN Wed 1:40PM","81","1.47","22%","-1%"
"*02mxf*","Carson Kelly","CHC","C","276","FA","31","ATH Wed 8:05PM","80","1.78","61%","-3%"
"*03btu*","Willi Castro","COL","2B,3B,OF","275","FA","29","@LAA Wed 9:38PM","80","1.54","46%","-1%"
"*04cwf*","Shane Baz","BAL","SP","278","FA","26","@BOS Wed 6:45PM","79.54","6.63","85%","0%"
"*05rbs*","Moises Ballesteros","CHC","C,1B","280","FA","22","ATH Wed 8:05PM","79","1.61","59%","-4%"
"*05y4b*","Caleb Durbin","BOS","3B","281","FA","26","BAL Wed 6:45PM","79","1.49","47%","-2%"
"*04y9o*","Jack Leiter","TEX","SP","282","FA","26","@STL Wed 7:45PM","78.89","6.57","88%","-1%"
"*05y30*","Justin Crawford","PHI","OF","284","FA","22","SD Wed 6:40PM","78","1.42","65%","-3%"
"*064n8*","Nathan Church","STL","OF","283","FA","25","TEX Wed 7:45PM","78","1.7","22%","-2%"
"*04ppk*","Richie Palacios","TB","2B,OF","285","FA","29","DET Wed 1:10PM","78","1.81","14%","-2%"
"*04eos*","Joey Cantillo","CLE","SP,RP","286","FA","26","@NYY Wed 7:05PM","77.46","5.96","81%","-5%"
"*02i3o*","Aaron Nola","PHI","SP","287","FA","32","SD Wed 6:40PM","77.35","6.45","83%","-1%"
"*025he*","George Springer","TOR","OF","290","FA","36","@ATL Wed 7:15PM","77","1.88","91%","-1%"
"*04ee8*","Heliot Ramos","SF","OF","289","FA","26","@MIL Wed 7:40PM","77","1.75","73%","-2%"
"*05rkq*","Jose Fernandez","ARI","1B,3B,SS","288","FA","22","LAD Wed 9:40PM","77","1.45","33%","-3%"
"*05xod*","Sean Burke","CHW","SP","291","FA","26","@MIN Wed 1:40PM","76.56","6.38","64%","-3%"
"*03et8*","Ranger Suarez","BOS","SP","292","FA","30","BAL Wed 6:45PM","76.36","6.94","97%","-1%"
"*062ho*","Javier Sanoja","MIA","2B,3B,OF,RP","295","FA","23","@WSH Wed 1:05PM","76","1.69","18%","-2%"
"*04an8*","Wenceel Perez","DET","OF","294","FA","26","@TB Wed 1:10PM","76","1.65","15%","-1%"
"*04y94*","Jonny DeLuca","TB","OF","293","FA","27","DET Wed 1:10PM","76","1.85","14%","-1%"
"*04mlx*","Matthew Liberatore","STL","SP","298","FA","26","TEX Wed 7:45PM","74.46","6.2","56%","-3%"
"*05xtz*","Dalton Rushing","LAD","C","301","FA","25","@ARI Wed 9:40PM","74","2.31","60%","-4%"
